id,sectiontitle,firstfield,nextnode
b782fe41-fe2a-444e-9cd1-1ae8e2cc1938,Valuation,7723b252-fdd8-48c4-a52c-f62d8c78f9c7,35da2278-ad41-4eed-8d77-ba36a438248c
35da2278-ad41-4eed-8d77-ba36a438248c,Revenue Growth,9824eb00-1278-4909-9ecc-994715408cc3,5cdf841b-e681-4817-b060-581af30f4411
5cdf841b-e681-4817-b060-581af30f4411,Net Result (Net Profit/Loss),6164ca55-2e96-4e53-aec1-180a7aa701d1,d5dc1002-2b7d-43c7-be40-03239fa93504
d5dc1002-2b7d-43c7-be40-03239fa93504,OpEx,fa84e718-bc1e-4036-9613-2954aeb78176,f42eb02a-0516-48e7-9c01-8ca1859f1829
f42eb02a-0516-48e7-9c01-8ca1859f1829,Burn Rate,86afed90-53a4-4390-a535-d230122d8982,50854d1d-5125-478b-80ad-3d8bb72f8fff
50854d1d-5125-478b-80ad-3d8bb72f8fff,Liquidity,9945c561-c672-4d90-b9ae-d4946cbba357,eae7e875-7281-4cbe-8828-5963c57e78d2
eae7e875-7281-4cbe-8828-5963c57e78d2,Cash Runway,8c428732-b4d1-4ee5-af8c-eab595de89f2,0f4f6c7d-d199-4064-860f-540e5a7ffcf9
0f4f6c7d-d199-4064-860f-540e5a7ffcf9,Debt Management,0dd102eb-42e7-4061-8691-66bbe26067d5,68af604d-af9b-485a-b1a0-caac2a17e8bc
68af604d-af9b-485a-b1a0-caac2a17e8bc,Operational Efficiency,0bd52739-6dd0-41e9-bddf-7bc0791960f8,95a261e1-cd07-47dd-ab46-366fff519291
95a261e1-cd07-47dd-ab46-366fff519291,Tax Efficiency,f0d17da6-6222-4d86-8901-29953303c51f,
