id,sectiontitle,firstfield,nextnode
aaf41050-74b6-4ff1-bc1c-6c9f0101a60d,Valuation,cc7d039d-6225-4372-ae27-735725278012,953ced94-cab7-402b-be87-021238314ff7
953ced94-cab7-402b-be87-021238314ff7,Revenue Growth,0addab25-e288-497b-b7cf-a6adbe239283,72b3b9a6-460b-431b-81b8-922cb7bddf8c
72b3b9a6-460b-431b-81b8-922cb7bddf8c,Net Result (Net Profit/Loss),ee91a23c-abdd-4a2c-b4d4-8ae320f3a715,105c6bce-7da8-4cc4-b068-f0044c94b640
105c6bce-7da8-4cc4-b068-f0044c94b640,OpEx,48527298-c1af-46e7-b3e5-1ab771859d71,9b1755c1-24c0-427f-aa6c-e7fb9385db22
9b1755c1-24c0-427f-aa6c-e7fb9385db22,Burn Rate,80e446a9-19a1-4c7e-8ef8-c4b7ff74cacd,c4959ac8-db3b-4779-9bc9-0ac7159105dd
c4959ac8-db3b-4779-9bc9-0ac7159105dd,Liquidity,6b1dd493-d483-4e94-a05c-846f68ce7b57,4d1d8b65-0ff3-4095-93fc-c4c599d346f1
4d1d8b65-0ff3-4095-93fc-c4c599d346f1,Cash Runway,7588afca-5de9-4141-a0a2-c012f9d0ce0d,5bdb1224-70c0-41c4-9fef-775a3a071d4e
5bdb1224-70c0-41c4-9fef-775a3a071d4e,Debt Management,41b26e77-ca93-42db-9eef-ee432b8d6c7c,5e6a95ac-40ad-4687-8d62-e7f94505ad58
5e6a95ac-40ad-4687-8d62-e7f94505ad58,Operational Efficiency,5ae9f6a1-a786-4761-b3a9-a33bf606fbf9,418aa3ba-1b4a-4ac3-8e02-dba82a6a0737
418aa3ba-1b4a-4ac3-8e02-dba82a6a0737,Tax Efficiency,d4b07af9-c4b4-4483-9a8d-17a2b22dcb79,
