id,sectiontitle,firstfield,nextnode
f8c4bd68-9642-427b-9d11-94d113606a02,Valuation,3046e3b1-55a2-4440-92a1-c996d2266957,f8a4b4fb-8262-4e0b-819a-af26f044d4e2
f8a4b4fb-8262-4e0b-819a-af26f044d4e2,Revenue Growth,528cc4b8-5f76-4130-9785-b4265d5ac278,24e4857e-4e60-4dd5-ba76-21c133a74773
24e4857e-4e60-4dd5-ba76-21c133a74773,Net Result (Net Profit/Loss),e019b31d-beb6-408a-9dbe-773eb34a5241,916ddcb7-8354-4050-b439-e55dc1e10f8e
916ddcb7-8354-4050-b439-e55dc1e10f8e,OpEx,1a014d9e-5b02-4ae4-9a4c-69df4d7a4283,bc4ee5e3-04b0-4722-8089-e24cc3445131
bc4ee5e3-04b0-4722-8089-e24cc3445131,Burn Rate,8cdf982f-3cab-4df1-bb85-63c942344173,d2e88b31-474d-4328-97dd-e1ba5da8379e
d2e88b31-474d-4328-97dd-e1ba5da8379e,Liquidity,69e9bf20-7c66-447b-aefd-5dc468a02a68,a90d8a38-3518-412b-bd48-c5ec4fd4cd10
a90d8a38-3518-412b-bd48-c5ec4fd4cd10,Cash Runway,bfef2509-30f7-4eb9-87d4-3e8febbfbcf8,ade2dfd6-1f60-4ea4-9e71-ea621f6953ef
ade2dfd6-1f60-4ea4-9e71-ea621f6953ef,Debt Management,a9ef211b-22b8-4583-9350-f58229f8188b,fd49cdc0-7a55-4c69-8441-fa2dd19a69ed
fd49cdc0-7a55-4c69-8441-fa2dd19a69ed,Operational Efficiency,956b1f2b-1246-4708-a7be-91cd32944194,e0dbeb74-392f-455e-ba74-3e670936ed65
e0dbeb74-392f-455e-ba74-3e670936ed65,Tax Efficiency,2660e978-8c6c-4b35-82ea-ebd2822b9307,
